payroll_id,employee_id,pay_period,gross_pay,deductions,net_pay,overtime_hours,first_name,last_name,ssn,email,department_id,hire_date,salary,is_active,dept_id,dept_name,salary_monthly,net_pay_ratio,deduction_ratio,overtime_ratio,gross_vs_salary,anomaly_score,anomaly_decision
1,1,2026-02-28,6147.79,1528.66,4619.13,10,Harry,Mason,757-41-5089,codythompson@example.net,1.0,2026-02-04,67450,True,1.0,Sales,5620.833333333333,0.7513480453951745,0.24865195460482548,0.0625,1.0937506300963677,0,0.050094021494197616
2,2,2026-02-28,5279.71,872.66,4407.05,10,Carrie,Cortez,543-28-3579,joan05@example.com,1.0,2024-08-19,57926,True,1.0,Sales,4827.166666666667,0.8347144066624872,0.16528559333751286,0.0625,1.093749266305286,0,0.08026587866655976
3,3,2026-02-28,6081.91,1025.75,5056.15,5,Leah,Johnson,641-54-9311,debbie71@example.net,3.0,2024-08-10,69715,True,3.0,HR,5809.583333333333,0.8313424565638097,0.16865589921587135,0.03125,1.0468754213583877,0,0.0805281191981726
4,4,2026-02-28,6903.75,1232.39,5671.36,0,Steven,Tyler,658-03-5889,gibsonwilliam@example.com,2.0,2023-06-26,82845,True,2.0,Engineering,6903.75,0.8214897700525077,0.17851022994749233,0.0,1.0,0,0.14441011644878043
5,5,2026-02-28,4707.25,787.7,3919.55,0,Henry,Clark,730-07-8681,teresashepard@example.net,2.0,2022-11-15,56487,True,2.0,Engineering,4707.25,0.8326623824950874,0.16733761750491263,0.0,1.0,0,0.19312780954125514
6,6,2026-02-28,4707.25,1128.22,3579.03,0,James,Simmons,819-94-4546,coffeyrodney@example.org,2.0,2025-05-05,56487,True,2.0,Engineering,4707.25,0.7603229061553987,0.23967709384460142,0.0,1.0,0,0.16617305575919855
7,7,2026-02-28,6974.0,1102.06,5871.94,0,Julie,Collins,383-65-2234,haynesphillip@example.net,1.0,2021-09-07,83688,True,1.0,Sales,6974.0,0.8419759105248064,0.15802408947519356,0.0,1.0,0,0.12233518438231233
8,8,2026-02-28,5959.25,1206.46,4752.79,0,Dominique,Campbell,325-96-8578,denise39@example.com,5.0,2022-11-06,71511,True,5.0,Operations,5959.25,0.7975483492050174,0.2024516507949826,0.0,1.0,0,0.20082027871427094
9,9,2026-02-28,4826.81,916.06,3910.75,10,Amber,Peterson,889-66-0195,tiffany23@example.net,1.0,2022-04-05,52957,True,1.0,Sales,4413.083333333333,0.8102141994402099,0.18978580055978997,0.0625,1.0937500236040563,0,0.11063721170022006
10,10,2026-02-28,5678.17,1402.21,4275.96,0,Jennifer,Levy,578-24-6558,mary23@example.org,5.0,2022-01-31,68138,True,5.0,Operations,5678.166666666667,0.7530524799363175,0.24694752006368248,0.0,1.0000005870439401,0,0.14023243859856938
11,11,2026-02-28,4420.67,1045.71,3374.95,0,Patricia,Rogers,0,rebecca69@example.net,4.0,2021-07-04,53048,True,4.0,Finance,4420.666666666667,0.763447622193016,0.2365501157064427,0.0,1.0000007540340823,0,0.17673621648564924
